iter	Logloss
0	0.6287030303
1	0.5806202828
2	0.536462772
3	0.5023982997
4	0.4726847081
5	0.4474596166
6	0.4274654927
7	0.4102974141
8	0.3949924469
9	0.3825139508
10	0.371202321
11	0.3613085759
12	0.3536760445
13	0.3462218119
14	0.3399945726
15	0.3349181473
16	0.3300741335
17	0.325026757
18	0.320384124
19	0.3164357538
20	0.3128542064
21	0.3101064741
22	0.3071203832
23	0.3047100149
24	0.3027516802
25	0.3010872775
26	0.2994246552
27	0.2978151341
28	0.2960031501
29	0.2944375625
30	0.2932912397
31	0.2914051709
32	0.290165298
33	0.2892179295
34	0.2883225807
35	0.2871278314
36	0.2862138628
37	0.2854035693
38	0.2845636218
39	0.2835193078
40	0.2828375187
41	0.2823033817
42	0.2813818496
43	0.2807014145
44	0.2801667252
45	0.2797400285
46	0.2791573226
47	0.278548628
48	0.2780628863
49	0.2771367629
50	0.2767701455
51	0.2764727353
52	0.2761321592
53	0.275601349
54	0.2751428596
55	0.2747117192
56	0.2742262377
57	0.2738026727
58	0.2734111883
59	0.2731084354
60	0.2726869923
61	0.2724205679
62	0.2717320234
63	0.2713448641
64	0.2711620683
65	0.270840118
66	0.2705041671
67	0.2702185349
68	0.2695457278
69	0.2691540377
70	0.2688393281
71	0.2684790292
72	0.2681584704
73	0.2679193716
74	0.2675807417
75	0.2668918778
76	0.266667623
77	0.2663776203
78	0.2661737256
79	0.2659751394
80	0.265644476
81	0.2653439058
82	0.2652014247
83	0.2650498275
84	0.2648746346
85	0.2646987801
86	0.2642726489
87	0.2639362589
88	0.263454627
89	0.2632684954
90	0.2628825118
91	0.2626431162
92	0.2623262624
93	0.261925269
94	0.2618330261
95	0.2615538904
96	0.2612620745
97	0.2609071418
98	0.2607552225
99	0.2605026519
100	0.2602884228
101	0.260000172
102	0.2598856578
103	0.2596317705
104	0.2593356804
105	0.2592445697
106	0.25897803
107	0.2586635213
108	0.258524496
109	0.2583737053
110	0.2582404732
111	0.258124175
112	0.2579005307
113	0.2576094792
114	0.2574431079
115	0.2571472496
116	0.2570248096
117	0.2568736712
118	0.2567449937
119	0.2566241097
120	0.2564596471
121	0.2563573779
122	0.2561625663
123	0.2560186842
124	0.2558881636
125	0.2555002237
126	0.2553486607
127	0.2551132777
128	0.2550304299
129	0.2549324542
130	0.2546246494
131	0.2542089072
132	0.25404384
133	0.2538656255
134	0.2537033159
135	0.2535400745
136	0.2534781041
137	0.2533115277
138	0.253196926
139	0.2529408951
140	0.2528011547
141	0.2526655671
142	0.2526087408
143	0.2524312367
144	0.2523778227
145	0.2522103073
146	0.2520730133
147	0.2518858679
148	0.2518135872
149	0.2516868788
150	0.2515429999
151	0.2511771045
152	0.2510251022
153	0.2509337494
154	0.2506361976
155	0.2504471969
156	0.2503710624
157	0.2502968635
158	0.2501863243
159	0.25010859
160	0.2499304245
161	0.249798946
162	0.2496167364
163	0.2495404233
164	0.2493703676
165	0.2491500647
166	0.2490355873
167	0.2488643444
168	0.2486774113
169	0.2485620381
170	0.2484154394
171	0.2481845475
172	0.247975541
173	0.2477791766
174	0.2476341297
175	0.2475152796
176	0.2474288356
177	0.2471365261
178	0.2470698022
179	0.2468414718
180	0.2466976736
181	0.2464316497
182	0.2463021695
183	0.246060252
184	0.2460078846
185	0.2458338381
186	0.2456419264
187	0.2454716483
188	0.2453759336
189	0.2451963982
190	0.2450807393
191	0.2448380415
192	0.24473909
193	0.244507012
194	0.2443797697
195	0.2442810103
196	0.2442220451
197	0.2440759526
198	0.243926204
199	0.2437944523
200	0.2435499849
201	0.2433709929
202	0.2432247084
203	0.24314206
204	0.2428911702
205	0.2427202161
206	0.242581551
207	0.2423996227
208	0.2422489425
209	0.2420510495
210	0.2419156496
211	0.2417666665
212	0.2416322516
213	0.241408243
214	0.2413271426
215	0.2412562774
216	0.2411382848
217	0.2410052896
218	0.2407615629
219	0.2406595674
220	0.2405563573
221	0.2404038734
222	0.2402280018
223	0.2400750326
224	0.2397717801
225	0.2396552404
226	0.2395597534
227	0.2393699149
228	0.2392631944
229	0.2389247383
230	0.2387816125
231	0.2385670678
232	0.2384529881
233	0.2383550265
234	0.238081601
235	0.2379270326
236	0.2377655378
237	0.2376776198
238	0.237489114
239	0.2374077433
240	0.2372626744
241	0.2371678523
242	0.2369874259
243	0.2368311893
244	0.2366356706
245	0.2365774951
246	0.2364683842
247	0.2363311807
248	0.2362408015
249	0.2361484075
250	0.235971564
251	0.2358614207
252	0.2357492827
253	0.235659197
254	0.2355793676
255	0.2354917952
256	0.2353366855
257	0.2352120156
258	0.2351306967
259	0.2349465397
260	0.2348529519
261	0.2346535391
262	0.2345656921
263	0.2344650374
264	0.2343244287
265	0.2341653835
266	0.2340221837
267	0.2339558063
268	0.2338333664
269	0.2337189401
270	0.2335798132
271	0.2334578857
272	0.233393259
273	0.23327603
274	0.2331344835
275	0.2329767123
276	0.2328908406
277	0.232759178
278	0.2326897582
279	0.2325679907
280	0.2324689872
281	0.2323800936
282	0.2322703127
283	0.2322124345
284	0.2321597961
285	0.2320630335
286	0.2319780974
287	0.2319070975
288	0.2318088409
289	0.2317444465
290	0.2316451835
291	0.2316128347
292	0.2314855013
293	0.2313094845
294	0.2311380392
295	0.230914792
296	0.2308320719
297	0.2307302842
298	0.2305885744
299	0.230441744
300	0.2303544939
301	0.2302324704
302	0.2301639254
303	0.2300783425
304	0.2300288407
305	0.2299334064
306	0.2298636881
307	0.2297308682
308	0.22960421
309	0.229531151
310	0.2294063551
311	0.2293436762
312	0.2292274776
313	0.2291180564
314	0.2290458983
315	0.2289847546
316	0.2288658703
317	0.2288292624
318	0.2287239016
319	0.2286026781
320	0.2284677608
321	0.2283271209
322	0.2282905354
323	0.2281985449
